filename	label	is_a	part_of
6510	KC#0-y	neuron	female organism|adult brain
6582	KC#1-y	neuron	female organism|adult brain
6618	KC#2-y	neuron	female organism|adult brain
6630	KC#3-y	neuron	female organism|adult brain
6662	KC#4-y	neuron	female organism|adult brain
6762	KC#5-y	neuron	female organism|adult brain
6838	KC#6-y	neuron	female organism|adult brain
6934	KC#7-y	neuron	female organism|adult brain
7118	KC#8-y	neuron	female organism|adult brain
7150	KC#9-y	neuron	female organism|adult brain
7222	KC#10-y	neuron	female organism|adult brain
7282	KC#11-a'b'	neuron	female organism|adult brain
7302	KC#13-y	neuron	female organism|adult brain
7330	KC#14-a'b'	neuron	female organism|adult brain
7362	KC#15-a'b'	neuron	female organism|adult brain
7410	KC#16-a'b'	neuron	female organism|adult brain
7414	KC#17-a'b'	neuron	female organism|adult brain
7418	KC#18-a'b'	neuron	female organism|adult brain
7430	KC#19-a'b'	neuron	female organism|adult brain
7454	KC#20-ab	neuron	female organism|adult brain
7466	KC#21-ab	neuron	female organism|adult brain
7506	KC#440-a'b'	neuron	female organism|adult brain
7542	KC#22-a'b'	neuron	female organism|adult brain
7634	KC#23-a'b'	neuron	female organism|adult brain
7702	KC#25-ab	neuron	female organism|adult brain
7734	KC#26-y	neuron	female organism|adult brain
7806	KC#27-y	neuron	female organism|adult brain
7834	KC#28-y	neuron	female organism|adult brain
7870	KC#29-y	neuron	female organism|adult brain
7910	KC#30-y	neuron	female organism|adult brain
8006	KC#31-y	neuron	female organism|adult brain
8142	KC#32-y	neuron	female organism|adult brain
8190	KC#33-y	neuron	female organism|adult brain
8218	KC#34-y	neuron	female organism|adult brain
8238	KC#35-y	neuron	female organism|adult brain
8242	KC#36-y	neuron	female organism|adult brain
8250	KC#37-y	neuron	female organism|adult brain
8290	KC#38-a'b'	neuron	female organism|adult brain
8302	KC#39-y	neuron	female organism|adult brain
8306	KC#40-y	neuron	female organism|adult brain
8322	KC#41-a'b'	neuron	female organism|adult brain
8342	KC#42-y	neuron	female organism|adult brain
8382	KC#43-y	neuron	female organism|adult brain
8494	KC#44-y	neuron	female organism|adult brain
8538	KC#45-y	neuron	female organism|adult brain
8638	KC#46-y	neuron	female organism|adult brain
8646	KC#47-y	neuron	female organism|adult brain
8654	KC#48-y	neuron	female organism|adult brain
8706	KC#49-y	neuron	female organism|adult brain
8726	KC#50-y	neuron	female organism|adult brain
8750	KC#51-y	neuron	female organism|adult brain
8902	KC#52-y	neuron	female organism|adult brain
8938	KC#53-y	neuron	female organism|adult brain
8958	KC#54-y	neuron	female organism|adult brain
9178	KC#55-y	neuron	female organism|adult brain
9210	KC#56-y	neuron	female organism|adult brain
9254	KC#57-a'b'	neuron	female organism|adult brain
9294	KC#58-a'b'	neuron	female organism|adult brain
9374	KC#59-y	neuron	female organism|adult brain
9394	KC#60-y	neuron	female organism|adult brain
9410	KC#61-y	neuron	female organism|adult brain
9426	KC#62-y	neuron	female organism|adult brain
9438	KC#63-y	neuron	female organism|adult brain
9458	KC#64-a'b'	neuron	female organism|adult brain
9494	KC#65-y	neuron	female organism|adult brain
9502	KC#66-y	neuron	female organism|adult brain
9558	KC#67-y	neuron	female organism|adult brain
9590	KC#69-y	neuron	female organism|adult brain
9654	KC#70-y	neuron	female organism|adult brain
9658	KC#71-y	neuron	female organism|adult brain
9702	KC#72-y	neuron	female organism|adult brain
9738	KC#73-y	neuron	female organism|adult brain
9742	KC#74-y	neuron	female organism|adult brain
9754	KC#75-y	neuron	female organism|adult brain
9762	KC#76-y	neuron	female organism|adult brain
9842	KC#77-y	neuron	female organism|adult brain
9930	KC#78-y	neuron	female organism|adult brain
10078	KC#79-ab	neuron	female organism|adult brain
10082	KC#80-ab	neuron	female organism|adult brain
10166	KC#81-ab	neuron	female organism|adult brain
10170	KC#82-ab	neuron	female organism|adult brain
10202	KC#83-ab	neuron	female organism|adult brain
10306	KC#84-ab	neuron	female organism|adult brain
10378	KC#85-ab	neuron	female organism|adult brain
10410	KC#86-ab	neuron	female organism|adult brain
10442	KC#87-ab	neuron	female organism|adult brain
10482	KC#88-ab	neuron	female organism|adult brain
10526	KC#89-ab	neuron	female organism|adult brain
10598	KC#90-ab	neuron	female organism|adult brain
10630	KC#91-ab	neuron	female organism|adult brain
10694	KC#92-ab	neuron	female organism|adult brain
10698	KC#93-ab	neuron	female organism|adult brain
10714	KC#94-ab	neuron	female organism|adult brain
10722	KC#95-ab	neuron	female organism|adult brain
10754	KC#96-ab	neuron	female organism|adult brain
10814	KC#97-ab	neuron	female organism|adult brain
10818	KC#98-ab	neuron	female organism|adult brain
10850	KC#99-ab	neuron	female organism|adult brain
10882	KC#100-ab	neuron	female organism|adult brain
10894	KC#101-ab	neuron	female organism|adult brain
10946	KC#102-ab	neuron	female organism|adult brain
10986	KC#103-ab	neuron	female organism|adult brain
11010	KC#104-ab	neuron	female organism|adult brain
11078	KC#105-ab	neuron	female organism|adult brain
11102	KC#106-ab	neuron	female organism|adult brain
11106	KC#107-ab	neuron	female organism|adult brain
11122	KC#108-ab	neuron	female organism|adult brain
11138	KC#109-ab	neuron	female organism|adult brain
11142	KC#110-ab	neuron	female organism|adult brain
11146	KC#111-ab	neuron	female organism|adult brain
11438	KC#112-y	neuron	female organism|adult brain
11482	KC#113-y	neuron	female organism|adult brain
11534	KC#114-y	neuron	female organism|adult brain
11538	KC#115-y	neuron	female organism|adult brain
11558	KC#116-y	neuron	female organism|adult brain
11582	KC#117-y	neuron	female organism|adult brain
11622	KC#118-y	neuron	female organism|adult brain
11714	KC#119-a'b'	neuron	female organism|adult brain
11822	KC#121-y	neuron	female organism|adult brain
11826	KC#122-y	neuron	female organism|adult brain
11850	KC#123-y	neuron	female organism|adult brain
11878	KC#124-y	neuron	female organism|adult brain
11958	KC#125-a'b'	neuron	female organism|adult brain
12014	KC#126-a'b'	neuron	female organism|adult brain
12066	KC#127-a'b'	neuron	female organism|adult brain
12070	KC#128-a'b'	neuron	female organism|adult brain
12126	KC#129-y	neuron	female organism|adult brain
12134	KC#130-y	neuron	female organism|adult brain
12142	KC#131-y	neuron	female organism|adult brain
12150	KC#132-a'b'	neuron	female organism|adult brain
12190	KC#133-y	neuron	female organism|adult brain
12210	KC#134-a'b'	neuron	female organism|adult brain
12230	KC#135-a'b'	neuron	female organism|adult brain
12266	KC#136-a'b'	neuron	female organism|adult brain
12282	KC#137-a'b'	neuron	female organism|adult brain
