subject_external_id	subject_name	relation	object
14795310	A09e_a3l	is_a	larval abdominal 3 A09e neuron
14728550	A09e_a3r	is_a	larval abdominal 3 A09e neuron
2284021	AN-L-Sens-B1-ACa-01	is_a	larval antennal nerve sensory neuron
13744425	AN-L-Sens-B1-ACa-02	is_a	larval antennal nerve sensory neuron
15770032	AN-L-Sens-B1-ACa-03	is_a	larval antennal nerve sensory neuron
1367171	AN-L-Sens-B1-ACa-04	is_a	larval antennal nerve sensory neuron
1398253	AN-L-Sens-B1-ACa-05	is_a	larval antennal nerve sensory neuron
1377586	AN-L-Sens-B1-ACa-07	is_a	larval antennal nerve sensory neuron
15769419	AN-L-Sens-B1-ACa-08	is_a	larval antennal nerve sensory neuron
1405493	AN-L-Sens-B1-ACa-09	is_a	larval antennal nerve sensory neuron
40152	AN-L-Sens-B1-ACa-10	is_a	larval antennal nerve sensory neuron
1395971	AN-L-Sens-B1-ACa-11	is_a	larval antennal nerve sensory neuron
9838294	AN-L-Sens-B1-ACa-13	is_a	larval antennal nerve sensory neuron
1406463	AN-L-Sens-B1-ACa-14	is_a	larval antennal nerve sensory neuron
1414206	AN-L-Sens-B1-AVa-16	is_a	larval antennal nerve sensory neuron
1375101	AN-L-Sens-B1-AVa-17	is_a	larval antennal nerve sensory neuron
15769680	AN-L-Sens-B1-AVa-19	is_a	larval antennal nerve sensory neuron
1429969	AN-L-Sens-B1-AVa-20	is_a	larval antennal nerve sensory neuron
1435466	AN-L-Sens-B1-AVa-21	is_a	larval antennal nerve sensory neuron
1428271	AN-L-Sens-B1-AVa-22	is_a	larval antennal nerve sensory neuron
15770904	AN-L-Sens-B1-AVa-24	is_a	larval antennal nerve sensory neuron
15997666	AN-L-Sens-B2-ACp-01	is_a	larval antennal nerve sensory neuron
1706716	AN-L-Sens-B2-ACp-19	is_a	larval antennal nerve sensory neuron
15995929	AN-L-Sens-B2-ACp-20	is_a	larval antennal nerve sensory neuron
15998753	AN-L-Sens-B2-AVa-25	is_a	larval antennal nerve sensory neuron
2456826	AN-R-Sens-B1-ACa-01	is_a	larval antennal nerve sensory neuron
2340336	AN-R-Sens-B1-ACa-02	is_a	larval antennal nerve sensory neuron
15562137	AN-R-Sens-B1-ACa-07	is_a	larval antennal nerve sensory neuron
15574231	AN-R-Sens-B1-ACa-08	is_a	larval antennal nerve sensory neuron
15573396	AN-R-Sens-B1-ACa-09	is_a	larval antennal nerve sensory neuron
15573450	AN-R-Sens-B1-ACa-14	is_a	larval antennal nerve sensory neuron
15574328	AN-R-Sens-B1-AVa-15	is_a	larval antennal nerve sensory neuron
6883831	AN-R-Sens-B1-AVa-16	is_a	larval antennal nerve sensory neuron
9748269	AN-R-Sens-B1-AVa-18	is_a	larval antennal nerve sensory neuron
9716858	AN-R-Sens-B1-AVa-19	is_a	larval antennal nerve sensory neuron
16442344	AN-R-Sens-B1-AVa-20	is_a	larval antennal nerve sensory neuron
15543068	AN-R-Sens-B1-AVa-21	is_a	larval antennal nerve sensory neuron
15564807	AN-R-Sens-B1-AVa-22	is_a	larval antennal nerve sensory neuron
15564782	AN-R-Sens-B1-AVa-23	is_a	larval antennal nerve sensory neuron
15564706	AN-R-Sens-B1-AVa-24	is_a	larval antennal nerve sensory neuron
15572414	AN-R-Sens-B1-AVa-25	is_a	larval antennal nerve sensory neuron
15575327	AN-R-Sens-B1-AVa-26	is_a	larval antennal nerve sensory neuron
15541944	AN-R-Sens-B2-ACp-02	is_a	larval antennal nerve sensory neuron
15506094	AN-R-Sens-B2-ACp-18	is_a	larval antennal nerve sensory neuron
15541976	AN-R-Sens-B2-ACp-19	is_a	larval antennal nerve sensory neuron
15532105	AN-R-Sens-B2-AVa-24	is_a	larval antennal nerve sensory neuron
3192952	AN-R-Sens-B2-AVa-25	is_a	larval antennal nerve sensory neuron
5500958	Coaster (NPF) 2 right	is_a	larval NPF neuron
10418394	DH44 1 left	is_a	larval DH44 neuron of pars intercerebralis
2260755	DH44 1 right	is_a	larval DH44 neuron of pars intercerebralis
4400767	DH44 2 left	is_a	larval DH44 neuron of pars intercerebralis
13751194	DH44 2 right	is_a	larval DH44 neuron of pars intercerebralis
10563755	DH44 3 left	is_a	larval DH44 neuron of pars intercerebralis
13535387	DH44 3 right	is_a	larval DH44 neuron of pars intercerebralis
4523584	DMS 1 left	is_a	larval DMS cell of pars intercerebralis
