object	relation	subject_id	subject_name
left side of organism	has_soma_location	VFB_001027nt	neuron 468 (FANC:494913)
adult peripheral nervous system	overlaps	VFB_001027nu	neuron 472 (FANC:494984)
adult ventral nerve cord	overlaps	VFB_001027nu	neuron 472 (FANC:494984)
left side of organism	has_soma_location	VFB_001027nu	neuron 472 (FANC:494984)
adult peripheral nervous system	overlaps	VFB_001027ny	neuron 476 (FANC:495061)
adult ventral nerve cord	overlaps	VFB_001027ny	neuron 476 (FANC:495061)
left side of organism	has_soma_location	VFB_001027ny	neuron 476 (FANC:495061)
adult peripheral nervous system	overlaps	VFB_001027o0	neuron 480 (FANC:495098)
adult ventral nerve cord	overlaps	VFB_001027o0	neuron 480 (FANC:495098)
left side of organism	has_soma_location	VFB_001027o0	neuron 480 (FANC:495098)
adult peripheral nervous system	overlaps	VFB_001027o1	neuron 484 (FANC:495122)
adult ventral nerve cord	overlaps	VFB_001027o1	neuron 484 (FANC:495122)
left side of organism	has_soma_location	VFB_001027o1	neuron 484 (FANC:495122)
adult peripheral nervous system	overlaps	VFB_001027o4	neuron 488 (FANC:495180)
adult ventral nerve cord	overlaps	VFB_001027o4	neuron 488 (FANC:495180)
left side of organism	has_soma_location	VFB_001027o4	neuron 488 (FANC:495180)
adult peripheral nervous system	overlaps	VFB_001027o5	neuron 492 (FANC:495198)
adult ventral nerve cord	overlaps	VFB_001027o5	neuron 492 (FANC:495198)
left side of organism	has_soma_location	VFB_001027o5	neuron 492 (FANC:495198)
adult peripheral nervous system	overlaps	VFB_0010283p	neuron 496 (FANC:512447)
adult ventral nerve cord	overlaps	VFB_0010283p	neuron 496 (FANC:512447)
left side of organism	has_soma_location	VFB_0010283p	neuron 496 (FANC:512447)
adult peripheral nervous system	overlaps	VFB_0010283s	neuron 500 (FANC:512490)
adult ventral nerve cord	overlaps	VFB_0010283s	neuron 500 (FANC:512490)
left side of organism	has_soma_location	VFB_0010283s	neuron 500 (FANC:512490)
adult peripheral nervous system	overlaps	VFB_0010283u	neuron 504 (FANC:512518)
adult ventral nerve cord	overlaps	VFB_0010283u	neuron 504 (FANC:512518)
left side of organism	has_soma_location	VFB_0010283u	neuron 504 (FANC:512518)
adult peripheral nervous system	overlaps	VFB_0010283w	neuron 512 (FANC:512545)
adult ventral nerve cord	overlaps	VFB_0010283w	neuron 512 (FANC:512545)
left side of organism	has_soma_location	VFB_0010283w	neuron 512 (FANC:512545)
adult peripheral nervous system	overlaps	VFB_0010283x	neuron 516 (FANC:512559)
adult ventral nerve cord	overlaps	VFB_0010283x	neuron 516 (FANC:512559)
left side of organism	has_soma_location	VFB_0010283x	neuron 516 (FANC:512559)
adult peripheral nervous system	overlaps	VFB_0010283z	neuron 524 (FANC:512588)
adult ventral nerve cord	overlaps	VFB_0010283z	neuron 524 (FANC:512588)
left side of organism	has_soma_location	VFB_0010283z	neuron 524 (FANC:512588)
adult peripheral nervous system	overlaps	VFB_0010284b	neuron 532 (FANC:512617)
adult ventral nerve cord	overlaps	VFB_0010284b	neuron 532 (FANC:512617)
left side of organism	has_soma_location	VFB_0010284b	neuron 532 (FANC:512617)
adult peripheral nervous system	overlaps	VFB_0010284d	neuron 540 (FANC:512645)
adult ventral nerve cord	overlaps	VFB_0010284d	neuron 540 (FANC:512645)
left side of organism	has_soma_location	VFB_0010284d	neuron 540 (FANC:512645)
adult peripheral nervous system	overlaps	VFB_0010284e	neuron 544 (FANC:512658)
adult ventral nerve cord	overlaps	VFB_0010284e	neuron 544 (FANC:512658)
left side of organism	has_soma_location	VFB_0010284e	neuron 544 (FANC:512658)
adult peripheral nervous system	overlaps	VFB_0010284g	neuron 548 (FANC:512686)
adult ventral nerve cord	overlaps	VFB_0010284g	neuron 548 (FANC:512686)
left side of organism	has_soma_location	VFB_0010284g	neuron 548 (FANC:512686)
adult peripheral nervous system	overlaps	VFB_0010284i	neuron 557 (FANC:512713)
adult ventral nerve cord	overlaps	VFB_0010284i	neuron 557 (FANC:512713)
left side of organism	has_soma_location	VFB_0010284i	neuron 557 (FANC:512713)
adult peripheral nervous system	overlaps	VFB_0010284l	neuron 561 (FANC:512754)
adult ventral nerve cord	overlaps	VFB_0010284l	neuron 561 (FANC:512754)
left side of organism	has_soma_location	VFB_0010284l	neuron 561 (FANC:512754)
adult peripheral nervous system	overlaps	VFB_0010284o	neuron 569 (FANC:512795)
adult ventral nerve cord	overlaps	VFB_0010284o	neuron 569 (FANC:512795)
left side of organism	has_soma_location	VFB_0010284o	neuron 569 (FANC:512795)
adult peripheral nervous system	overlaps	VFB_0010284q	neuron 573 (FANC:512823)
adult ventral nerve cord	overlaps	VFB_0010284q	neuron 573 (FANC:512823)
left side of organism	has_soma_location	VFB_0010284q	neuron 573 (FANC:512823)
adult peripheral nervous system	overlaps	VFB_001027p2	neuron 581 (FANC:495816)
adult ventral nerve cord	overlaps	VFB_001027p2	neuron 581 (FANC:495816)
left side of organism	has_soma_location	VFB_001027p2	neuron 581 (FANC:495816)
adult peripheral nervous system	overlaps	VFB_0010284r	neuron 585 (FANC:512837)
adult ventral nerve cord	overlaps	VFB_0010284r	neuron 585 (FANC:512837)
left side of organism	has_soma_location	VFB_0010284r	neuron 585 (FANC:512837)
adult peripheral nervous system	overlaps	VFB_001027lf	neuron 2180 (FANC:493184)
adult ventral nerve cord	overlaps	VFB_001027lf	neuron 2180 (FANC:493184)
right side of organism	has_soma_location	VFB_001027lf	neuron 2180 (FANC:493184)
adult peripheral nervous system	overlaps	VFB_001027lq	neuron 2212 (FANC:493408)
adult ventral nerve cord	overlaps	VFB_001027lq	neuron 2212 (FANC:493408)
adult ventral prothoracic nerve	fasciculates_with	VFB_001027lq	neuron 2212 (FANC:493408)
right side of organism	has_soma_location	VFB_001027lq	neuron 2212 (FANC:493408)
