object	relation	subject_id	subject_name
left side of organism	has_soma_location	VFB_001028ke	neuron 10243 (FANC:547859)
adult peripheral nervous system	overlaps	VFB_001028kg	neuron 10248 (FANC:547888)
adult ventral nerve cord	overlaps	VFB_001028kg	neuron 10248 (FANC:547888)
left side of organism	has_soma_location	VFB_001028kg	neuron 10248 (FANC:547888)
adult peripheral nervous system	overlaps	VFB_001028kk	neuron 10253 (FANC:547941)
adult ventral nerve cord	overlaps	VFB_001028kk	neuron 10253 (FANC:547941)
left side of organism	has_soma_location	VFB_001028kk	neuron 10253 (FANC:547941)
adult peripheral nervous system	overlaps	VFB_001028km	neuron 10259 (FANC:547981)
adult ventral nerve cord	overlaps	VFB_001028km	neuron 10259 (FANC:547981)
left side of organism	has_soma_location	VFB_001028km	neuron 10259 (FANC:547981)
adult peripheral nervous system	overlaps	VFB_001027l6	neuron 10299 (FANC:493018)
adult ventral nerve cord	overlaps	VFB_001027l6	neuron 10299 (FANC:493018)
left side of organism	has_soma_location	VFB_001027l6	neuron 10299 (FANC:493018)
