subject_external_db	subject_external_id	subject_name	relation	object		notes
catmaid_l1em	8243455	83a PN right	is_a	larval uniglomerular projection neuron 83a		
catmaid_l1em	3410506	85c ORN left	is_a	larval olfactory receptor neuron Or85c		
catmaid_l1em	3893195	85c ORN right	is_a	larval olfactory receptor neuron Or85c		
catmaid_l1em	4354933	85c PN left	is_a	larval uniglomerular projection neuron 85c		
catmaid_l1em	14604028	85c PN right	is_a	larval uniglomerular projection neuron 85c		
catmaid_l1em	3511996	94a & 94b ORN left	is_a	larval olfactory receptor neuron Or94a/Or94b		
catmaid_l1em	3958234	94a & 94b ORN right	is_a	larval olfactory receptor neuron Or94a/Or94b		
catmaid_l1em	8399890	94a & 94b PN left	is_a	larval uniglomerular projection neuron 94b		
catmaid_l1em	4651929	94a & 94b PN right	is_a	larval uniglomerular projection neuron 94b		
catmaid_l1em	7941652	broad D1 left	is_a	larval antennal lobe broad duet 1 local neuron		
catmaid_l1em	8198416	broad D1 right	is_a	larval antennal lobe broad duet 1 local neuron		
catmaid_l1em	7941642	broad D2 left	is_a	larval antennal lobe broad duet 2 local neuron		
catmaid_l1em	8198513	broad D2 right	is_a	larval antennal lobe broad duet 2 local neuron		
catmaid_l1em	7939979	broad T1 left	is_a	larval antennal lobe broad trio 1 local neuron		
catmaid_l1em	8198317	broad T1 right	is_a	larval antennal lobe broad trio 1 local neuron		
catmaid_l1em	8311264	broad T2 left	is_a	larval antennal lobe broad trio 2 local neuron		
catmaid_l1em	8198238	broad T2 right	is_a	larval antennal lobe broad trio 2 local neuron		
catmaid_l1em	7939890	broad T3 left	is_a	larval antennal lobe broad trio 3 local neuron		
catmaid_l1em	6557581	broad T3 right	is_a	larval antennal lobe broad trio 3 local neuron		
catmaid_l1em	7394271	choosy 1 left	is_a	larval antennal lobe choosy 1 local neuron		
catmaid_l1em	8231264	choosy 1 right	is_a	larval antennal lobe choosy 1 local neuron		
catmaid_l1em	8273369	choosy 2 left	is_a	larval antennal lobe choosy 2 local neuron		
catmaid_l1em	4247099	choosy 2 right	is_a	larval antennal lobe choosy 2 local neuron		
catmaid_l1em	11105182	clamp left	is_a	larval subesophageal zone clamp neuron		
catmaid_l1em	10158972	clamp right	is_a	larval subesophageal zone clamp neuron		
catmaid_l1em	13849557	CSD left	is_a	larval serotonergic IP1 neuron 1		
catmaid_l1em	6143930	CSD right	is_a	larval serotonergic IP1 neuron 1		
catmaid_l1em	17545695	cypress left	is_a	larval subesophageal zone cypress neuron		
catmaid_l1em	14154154	cypress right	is_a	larval subesophageal zone cypress neuron		
catmaid_l1em	17844900	Giant-step left	is_a			not in pub
catmaid_l1em	13380660	ginkgo 1 left	is_a	larval subesophageal zone gingko 1 neuron		
catmaid_l1em	14517691	ginkgo 1 right	is_a	larval subesophageal zone gingko 1 neuron		
catmaid_l1em	3736500	ginkgo 2 left	is_a	larval subesophageal zone gingko 2 neuron		
catmaid_l1em	16621864	ginkgo 2 right	is_a	larval subesophageal zone gingko 2 neuron		
catmaid_l1em	5030808	keystone left	is_a	larval antennal lobe keystone local neuron		
catmaid_l1em	10831005	keystone right	is_a	larval antennal lobe keystone local neuron		
catmaid_l1em	17068730	Ladder (olfactory) ant.	is_a			not in pub
catmaid_l1em	3813487	Ladder (olfactory) post.	is_a			not in pub
catmaid_l1em	10865025	lAL-1 (octopaminergic) left	is_a			later
catmaid_l1em	4116174	lAL-1 (octopaminergic) right	is_a			later
catmaid_l1em	8509534	mPN cobra left	is_a	larval antennal lobe multiglomerular projection neuron cobra		
catmaid_l1em	16515871	mPN cobra right	is_a	larval antennal lobe multiglomerular projection neuron cobra		
catmaid_l1em	6451332	mPN D left	is_a	larval antennal lobe multiglomerular projection neuron D		
catmaid_l1em	3538129	mPN D right	is_a	larval antennal lobe multiglomerular projection neuron D		
catmaid_l1em	8276782	mPN iACT A1 left	is_a	larval antennal lobe multiglomerular projection neuron A1		
catmaid_l1em	4119387	mPN iACT A1 right	is_a	larval antennal lobe multiglomerular projection neuron A1		
catmaid_l1em	5261424	mPN iACT A2 left	is_a	larval antennal lobe multiglomerular projection neuron A2		
catmaid_l1em	4679139	mPN iACT A2 right	is_a	larval antennal lobe multiglomerular projection neuron A2		
catmaid_l1em	12225666	mPN iACT A3 left	is_a	larval antennal lobe multiglomerular projection neuron A3		
catmaid_l1em	4327684	mPN iACT A3 right	is_a	larval antennal lobe multiglomerular projection neuron A3		
catmaid_l1em	2568465	mPN iACT B1_left	is_a	larval antennal lobe multiglomerular projection neuron B1		
catmaid_l1em	10167078	mPN iACT B1_right	is_a	larval antennal lobe multiglomerular projection neuron B1		
catmaid_l1em	3450442	mPN iACT B2 left	is_a	larval antennal lobe multiglomerular projection neuron B2		
catmaid_l1em	4700078	mPN iACT B2 right	is_a	larval antennal lobe multiglomerular projection neuron B2		
catmaid_l1em	8704079	mPN iACT B3 left	is_a	larval antennal lobe multiglomerular projection neuron B3		
catmaid_l1em	16735586	mPN iACT B3 right	is_a	larval antennal lobe multiglomerular projection neuron B3		
catmaid_l1em	3712893	mPN iACT bilateral LOWER left	is_a	larval antennal lobe multiglomerular projection neuron bilateral lower		
catmaid_l1em	11543212	mPN iACT bilateral LOWER right	is_a	larval antennal lobe multiglomerular projection neuron bilateral lower		
catmaid_l1em	16795838	mPN iACT bilateral UPPER left	is_a	larval antennal lobe multiglomerular projection neuron bilateral upper		
catmaid_l1em	16795524	mPN iACT bilateral UPPER right	is_a	larval antennal lobe multiglomerular projection neuron bilateral upper		
catmaid_l1em	9589146	mPN iACT C1 left	is_a	larval antennal lobe multiglomerular projection neuron C1		
catmaid_l1em	7503199	mPN iACT C1 right	is_a	larval antennal lobe multiglomerular projection neuron C1		
catmaid_l1em	2612527	mPN iACT C2 left	is_a	larval antennal lobe multiglomerular projection neuron C2		
catmaid_l1em	4391978	mPN iACT C2 right	is_a	larval antennal lobe multiglomerular projection neuron C2		
catmaid_l1em	9119558	mPN iACT VUM L	is_a	larval antennal lobe multiglomerular projection neuron VUM		
catmaid_l1em	10990803	mPN iACT VUM R	is_a	larval antennal lobe multiglomerular projection neuron VUM		
catmaid_l1em	8480221	mPN seahorse left	is_a	larval antennal lobe multiglomerular projection neuron seahorse		
catmaid_l1em	4324898	mPN seahorse right	is_a	larval antennal lobe multiglomerular projection neuron seahorse		
catmaid_l1em	5291791	picky 0 left	is_a	larval antennal lobe picky 0 local neuron		
catmaid_l1em	8199671	picky 0 right	is_a	larval antennal lobe picky 0 local neuron		
catmaid_l1em	8102935	picky 1 left	is_a	larval antennal lobe picky 1 local neuron		
catmaid_l1em	7600311	picky 1 right	is_a	larval antennal lobe picky 1 local neuron		
catmaid_l1em	8877971	picky 2 left	is_a	larval antennal lobe picky 2 local neuron		
catmaid_l1em	3806573	picky 2 right	is_a	larval antennal lobe picky 2 local neuron		
catmaid_l1em	8274021	picky 3 left	is_a	larval antennal lobe picky 3 local neuron		
catmaid_l1em	11051276	picky 3 right	is_a	larval antennal lobe picky 3 local neuron		
catmaid_l1em	10555409	picky 4 left	is_a	larval antennal lobe picky 4 local neuron		
catmaid_l1em	5247102	picky 4 right	is_a	larval antennal lobe picky 4 local neuron		
catmaid_l1em	14437742	spruce left	is_a	larval subesophageal zone spruce neuron		
catmaid_l1em	3806652	spruce right	is_a	larval subesophageal zone spruce neuron		
catmaid_l1em	8877795	ventral LN left	is_a	larval antennal lobe ventral local neuron		
catmaid_l1em	3805641	ventral LN right	is_a	larval antennal lobe ventral local neuron		
catmaid_l1em	3486950	vine left	is_a	larval subesophageal zone vine neuron		
catmaid_l1em	4700182	vine right	is_a	larval subesophageal zone vine neuron		
