subject_external_db	subject_external_id	relation	object
catmaid_fafb	9588978	is_a	adult antennal lobe projection neuron VP1m+ lvPN
catmaid_fafb	9590169	is_a	adult antennal lobe projection neuron VP1m+VP2 lvPN 2
catmaid_fafb	9610210	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	9610756	is_a	adult hygrosensory neuron Ir68a VP5
catmaid_fafb	9611706	is_a	adult hygrosensory neuron Ir68a VP5
catmaid_fafb	9611893	is_a	adult hygrosensory neuron Ir68a VP5
catmaid_fafb	9612139	is_a	adult hygrosensory neuron Ir68a VP5
catmaid_fafb	9612147	is_a	adult hygrosensory neuron Ir68a VP5
catmaid_fafb	9704839	is_a	adult antennal lobe projection neuron VP5+VP3 l2PN
catmaid_fafb	9711486	is_a	adult lateral horn AV3f1 neuron
catmaid_fafb	9716626	is_a	adult antennal lobe projection neuron VP1d+VP4 l2PN1
catmaid_fafb	9717951	is_a	adult antennal lobe projection neuron VP1m++ smPN
catmaid_fafb	9740174	is_a	adult antennal lobe projection neuron VP1d+VP4 l2PN2
catmaid_fafb	9951834	is_a	adult lateral horn PD5g1 neuron
catmaid_fafb	10515783	is_a	adult antennal lobe projection neuron VP2+VC5 l2PN
catmaid_fafb	11052217	is_a	adult antennal lobe projection neuron VP2+VP5 lvPN
catmaid_fafb	11128057	is_a	adult lateral horn PV6r1 neuron
catmaid_fafb	11210831	is_a	adult lateral horn PD5g1 neuron
catmaid_fafb	11219809	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	11220858	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	11524452	is_a	DN1-like neuron
catmaid_fafb	11648695	is_a	adult thermosensory neuron Ir21a VP1l
catmaid_fafb	12229707	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	12232904	is_a	adult thermosensory neuron Ir21a VP1l
catmaid_fafb	12234527	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	12242212	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	12681995	is_a	adult antennal lobe projection neuron VP1m+VP2 lvPN 1
catmaid_fafb	12702477	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	12702677	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	12734515	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	12765352	is_a	adult hygrosensory neuron Ir68a VP5
catmaid_fafb	12766362	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	12766859	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	12770538	is_a	adult hygrosensory neuron Ir68a VP5
catmaid_fafb	12776427	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	12780133	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	12782012	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	12805737	is_a	adult antennal lobe projection neuron VP4+ vPN
catmaid_fafb	13053419	is_a	adult antennal lobe projection neuron VP5 l2PN
catmaid_fafb	13154015	is_a	adult antennal lobe projection neuron VP2 l2PN
catmaid_fafb	13159715	is_a	adult antennal lobe projection neuron VP3+ l2PN 1
catmaid_fafb	13159728	is_a	adult antennal lobe projection neuron VP3+ l2PN 1
catmaid_fafb	13159741	is_a	adult antennal lobe projection neuron VP3+ l2PN 2
catmaid_fafb	13272972	is_a	adult antennal lobe projection neuron VP1m+VP1d vPN
catmaid_fafb	13492671	is_a	adult antennal lobe projection neuron VP1l+ lvPN 1
catmaid_fafb	13599618	is_a	adult thermosensory neuron Ir21a VP1l
catmaid_fafb	13599868	is_a	adult thermosensory neuron Ir21a VP1l
catmaid_fafb	13599881	is_a	adult thermosensory neuron Ir21a VP1l
catmaid_fafb	13599982	is_a	adult hygrosensory neuron Ir40a VP1d
catmaid_fafb	13604008	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	13613023	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	13635531	is_a	adult hygrosensory neuron Ir68a VP1m
catmaid_fafb	13931917	is_a	adult antennal lobe projection neuron VP1m+VP2 lvPN 1
catmaid_fafb	13950267	is_a	adult antennal lobe projection neuron VC5++ l2PN 1
catmaid_fafb	14005954	is_a	adult antennal lobe projection neuron VP1m++ l2PN
catmaid_fafb	15423548	is_a	adult lateral horn PD5a1 neuron
