subject_external_db	subject_external_id	subject_name	relation	object	pub
catmaid_l1em	15770945	AN-L-Sens-B1-AVa-25	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1415168	AN-L-Sens-B1-AVa-26	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1431256	AN-L-Sens-B1-AVa-27	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15982306	AN-L-Sens-B1-AVa-28	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	9820270	AN-L-Sens-B1-AVa-29	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	7424178	AN-L-Sens-B1-AVa-30	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1419315	AN-L-Sens-B1-AVa-31	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1427012	AN-L-Sens-B1-AVa-32	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	17380936	AN-L-Sens-B1-AVa-33	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15983225	AN-L-Sens-B1-AVa-34	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15984231	AN-L-Sens-B1-AVa-35	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15994926	AN-L-Sens-B1-AVa-36	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15995327	AN-L-Sens-B1-AVa-37	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15766999	AN-L-Sens-B1-AVa-38	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15983156	AN-L-Sens-B1-AVa-39	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1351125	AN-L-Sens-B1-AVa-40	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1011675	AN-L-Sens-B2-ACp-02	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	7439909	AN-L-Sens-B2-ACp-03	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998782	AN-L-Sens-B2-ACp-04	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998469	AN-L-Sens-B2-ACp-05	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
