subject_external_db	subject_external_id	relation	object
catmaid_fafb	2050698	is_a	adult lateral horn AV4e7 neuron
catmaid_fafb	2372530	is_a	adult lateral horn PV4d3 neuron
catmaid_fafb	3136251	is_a	adult lateral horn PD3a4 neuron
catmaid_fafb	3393889	is_a	adult lateral horn AV4e4 neuron
catmaid_fafb	6185360	is_a	adult lateral horn AD1f1 neuron
