subject_external_db	subject_external_id	relation	pub	object
catmaid_fafb	8494	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8538	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8638	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8646	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8654	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8706	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8726	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8750	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8902	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8938	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	8958	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9178	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9374	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9394	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9410	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9426	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9438	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9494	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9502	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9558	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9578	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9590	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9654	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9658	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9702	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9738	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
