subject_external_id	subject_name	object	pub	comment	subject_external_db	relation
1905852940	WED044	adult wedge neuron 044			neuprint_JRC_Hemibrain_1point1	is_a
5813054307	WED045	adult wedge neuron 045			neuprint_JRC_Hemibrain_1point1	is_a
1754446468	WED046	adult wedge neuron 046			neuprint_JRC_Hemibrain_1point1	is_a
1411314129	WED047	adult wedge neuron 047			neuprint_JRC_Hemibrain_1point1	is_a
1753112545	WED047	adult wedge neuron 047			neuprint_JRC_Hemibrain_1point1	is_a
1753117041	WED047	adult wedge neuron 047			neuprint_JRC_Hemibrain_1point1	is_a
1752124422	WED048	adult wedge neuron 048			neuprint_JRC_Hemibrain_1point1	is_a
5813054961	WED049	adult wedge neuron 049			neuprint_JRC_Hemibrain_1point1	is_a
2188585641	WED049	adult wedge neuron 049			neuprint_JRC_Hemibrain_1point1	is_a
1785485642	WED050	adult wedge neuron 050			neuprint_JRC_Hemibrain_1point1	is_a
1754779699	WED050	adult wedge neuron 050			neuprint_JRC_Hemibrain_1point1	is_a
1753449078	WED051	adult wedge neuron 051			neuprint_JRC_Hemibrain_1point1	is_a
1849235388	WED052	adult wedge neuron 052			neuprint_JRC_Hemibrain_1point1	is_a
1753458358	WED052	adult wedge neuron 052			neuprint_JRC_Hemibrain_1point1	is_a
5812997420	WED053	adult wedge neuron 053			neuprint_JRC_Hemibrain_1point1	is_a
1785490626	WED053	adult wedge neuron 053			neuprint_JRC_Hemibrain_1point1	is_a
1785486078	WED053	adult wedge neuron 053			neuprint_JRC_Hemibrain_1point1	is_a
2284751048	WED054	adult wedge neuron 054			neuprint_JRC_Hemibrain_1point1	is_a
1942348089	WED054	adult wedge neuron 054			neuprint_JRC_Hemibrain_1point1	is_a
1785827374	WED054	adult wedge neuron 054			neuprint_JRC_Hemibrain_1point1	is_a
5812990975	WED055_a	adult wedge neuron 055			neuprint_JRC_Hemibrain_1point1	is_a
2188590741	WED055_a	adult wedge neuron 055			neuprint_JRC_Hemibrain_1point1	is_a
